query,candidate_products,relevant_product_ids
black shirt,"31660: Indigo Nation Men Printed Black Shirt | category=shirt | colour=black | gender=men | pattern=printed | price=799
12304: Genesis Men Stripes Red Shirts | category=shirt | colour=red | gender=men | pattern=striped | price=999
18305: Wills Lifestyle Men Striped Pink Shirt | category=shirt | colour=pink | gender=men | pattern=striped | price=1699
22372: Mark Taylor Men White Striped Red Shirt | category=shirt | colour=red | gender=men | pattern=striped | price=1199
31660: Indigo Nation Men Printed Black Shirt | category=shirt | colour=black | gender=men | pattern=printed | price=799
43500: French Connection Men White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=1799
10336: United Colors of Benetton Women Stripes Black Tops | category=top | colour=black | gender=women | pattern=striped | price=1499
20247: Wrangler Women Striped Purple Top | category=top | colour=magenta | gender=women | pattern=striped | price=1699",
warm sweater,"20216: Wrangler Men Rib Red Sweater | category=sweater | colour=red | gender=men | pattern=nan | price=899
20228: Wrangler Women Cable Red Sweater | category=sweater | colour=red | gender=women | pattern=nan | price=1199
19528: United Colors of Benetton Men Solid Red Sweater | category=sweater | colour=red | gender=men | pattern=solid | price=1899
1578: Domyos Men Good Stroke Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1099
1617: Reebok Men Shoot T-Shirt Red | category=tshirt | colour=red | gender=men | pattern=nan | price=799
4359: Free Authority Men's Melting Records Black T-shirt | category=tshirt | colour=black | gender=men | pattern=nan | price=1299
39113: Angry Birds Men Red Printed T-shirt | category=tshirt | colour=red | gender=men | pattern=printed | price=1599
2024: ADIDAS Mens Fitted Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=699
1752: Lotto Men Red Epic T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1199
4804: ADIDAS Men's Coffer Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=499",
something black for men,"4359: Free Authority Men's Melting Records Black T-shirt | category=tshirt | colour=black | gender=men | pattern=nan | price=1299
31660: Indigo Nation Men Printed Black Shirt | category=shirt | colour=black | gender=men | pattern=printed | price=799
10336: United Colors of Benetton Women Stripes Black Tops | category=top | colour=black | gender=women | pattern=striped | price=1499
31242: Puma Men Attack White T-shirt | category=tshirt | colour=white | gender=men | pattern=nan | price=799
44894: Puma Men Red T-shirts | category=tshirt | colour=red | gender=men | pattern=nan | price=499
1617: Reebok Men Shoot T-Shirt Red | category=tshirt | colour=red | gender=men | pattern=nan | price=799
1578: Domyos Men Good Stroke Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1099
4804: ADIDAS Men's Coffer Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=499
20216: Wrangler Men Rib Red Sweater | category=sweater | colour=red | gender=men | pattern=nan | price=899
38798: Free Authority Men Pink T-shirt | category=tshirt | colour=pink | gender=men | pattern=nan | price=599",
red clothing for women,"43270: Aneri Women Red Kurta | category=kurta | colour=red | gender=women | pattern=nan | price=1199
25926: Femella Women Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=599
23323: W Women Red Kurta | category=kurta | colour=red | gender=women | pattern=nan | price=699
11033: Jealous 21 Women Check Red Tops | category=top | colour=red | gender=women | pattern=checked | price=499
22766: BIBA Women Solid Red Kurta | category=kurta | colour=red | gender=women | pattern=solid | price=1799
20228: Wrangler Women Cable Red Sweater | category=sweater | colour=red | gender=women | pattern=nan | price=1199
19105: Mother Earth Women Printed Red Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=1899
35983: Flying Machine Women Poopy Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=1299
42672: Alma Women Red Printed Kurta | category=kurta | colour=red | gender=women | pattern=printed | price=1099
45960: Tokyo Talkies Women Red T-shirt | category=tshirt | colour=red | gender=women | pattern=nan | price=699
2024: ADIDAS Mens Fitted Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=699
4804: ADIDAS Men's Coffer Red T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=499
4752: ADIDAS Men's Red Polo T-shirt | category=tshirt | colour=red | gender=men | pattern=nan | price=1399
10878: Wrangler Men Red Polo Tshirts | category=tshirt | colour=red | gender=men | pattern=nan | price=899
44894: Puma Men Red T-shirts | category=tshirt | colour=red | gender=men | pattern=nan | price=499
1617: Reebok Men Shoot T-Shirt Red | category=tshirt | colour=red | gender=men | pattern=nan | price=799",
